Batting,,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Game_num
Cedric Mullins CF,Apr 8,4,0,1,0,0,3,5,0.25,0.4,0.25,0.65,17,10,-0.054,1.29,0.073,-0.13%,-0.03%,1.27,0,1,0,HBP,1
Ryan Mountcastle 1B,Apr 8,4,0,1,0,0,1,4,0.25,0.25,0.25,0.5,9,8,-0.052,1.51,0.057,-0.11%,-0.03%,1.48,-0.1,5,1,,1
Trey Mancini DH,Apr 8,4,0,1,0,0,2,4,0.25,0.25,0.5,0.75,21,13,0.019,1.3,0.092,-0.07%,0.01%,1.28,-0.2,,,2B,1
Austin Hays RF,Apr 8,3,0,0,0,1,2,4,0,0.25,0,0.25,15,9,-0.086,1.62,0.032,-0.12%,-0.05%,1.59,-0.3,1,0,,1
Anthony Santander LF,Apr 8,3,1,1,1,1,1,4,0.333,0.5,1.333,1.833,18,12,0.087,1.91,0.19,-0.10%,0.05%,1.88,0.1,3,0,HR,1
Ramon Urias 2B,Apr 8,4,0,1,0,0,0,4,0.25,0.25,0.5,0.75,16,11,-0.128,2.06,0.054,-0.18%,-0.08%,2.02,-0.9,0,3,2B,1
Jorge Mateo SS,Apr 8,3,0,1,0,1,1,4,0.333,0.5,0.333,0.833,17,9,-0.019,1.5,0.066,-0.08%,-0.01%,1.47,0.3,3,0,,1
Robinson Chirinos C,Apr 8,3,0,0,0,0,2,3,0,0,0,0,13,9,-0.186,1.92,0,-0.19%,-0.11%,1.89,-1.4,10,0,GDP,1
Kelvin Gutierrez 3B,Apr 8,3,0,0,0,0,2,3,0,0,0,0,14,9,-0.076,1.21,0,-0.08%,-0.04%,1.19,-0.5,0,3,,1
Cedric Mullins CF,Apr 9,4,0,0,0,0,2,4,0.125,0.222,0.125,0.347,16,10,-0.086,0.84,0,-0.09%,-0.05%,0.78,-0.9,2,0,,1
Ryan Mountcastle 1B,Apr 9,4,1,2,2,0,0,4,0.375,0.375,0.75,1.125,7,5,0.164,0.58,0.187,-0.02%,0.09%,0.54,1.8,8,0,HR,1
Anthony Santander LF,Apr 9,3,0,2,0,0,0,4,0.5,0.625,1,1.625,15,10,0.041,0.69,0.066,-0.03%,0.02%,0.64,0.3,3,0,HBP,1
Trey Mancini DH,Apr 9,4,0,1,0,0,1,4,0.25,0.25,0.375,0.625,18,13,-0.049,0.97,0.024,-0.07%,-0.03%,0.9,-0.6,,,,1
Ramon Urias 3B,Apr 9,4,1,2,0,0,1,4,0.375,0.375,0.625,1,15,9,0.011,1.19,0.083,-0.07%,0.01%,1.1,0.4,0,3,2B,1
Austin Hays RF,Apr 9,4,0,0,0,0,0,4,0,0.125,0,0.125,12,8,-0.158,1.26,0,-0.16%,-0.09%,1.17,-1.6,2,0,GDP,1
Rougned Odor 2B,Apr 9,4,0,0,0,0,2,4,0.2,0.2,0.2,0.4,13,11,-0.069,0.68,0,-0.07%,-0.04%,0.63,-0.8,2,2,,1
Jorge Mateo SS,Apr 9,3,1,1,1,1,1,4,0.333,0.5,0.5,1,13,8,0.051,0.63,0.071,-0.02%,0.03%,0.58,1.3,2,5,"2B,SB",1
Robinson Chirinos C,Apr 9,3,0,0,0,0,2,3,0,0,0,0,11,8,-0.06,0.87,0,-0.06%,-0.03%,0.81,-0.6,5,0,,1
Cedric Mullins CF,Apr 10,3,0,1,0,1,2,4,0.182,0.308,0.182,0.49,24,15,-0.021,0.68,0.031,-0.05%,-0.01%,0.62,-0.2,2,0,SB,1
Ryan Mountcastle 1B,Apr 10,4,0,2,0,0,0,4,0.417,0.417,0.667,1.083,11,7,-0.001,0.7,0.042,-0.04%,0%,0.64,-0.2,6,1,,1
Anthony Santander DH,Apr 10,2,0,0,0,1,0,3,0.375,0.545,0.75,1.295,18,11,-0.013,1,0.036,-0.05%,-0.01%,0.91,-0.4,,,,1
Trey Mancini LF,Apr 10,3,0,1,0,1,1,4,0.273,0.333,0.455,0.788,18,11,-0.029,0.8,0.029,-0.06%,-0.02%,0.73,0.1,2,0,2B,1
Ramon Urias 3B,Apr 10,3,0,0,0,0,2,3,0.273,0.273,0.455,0.727,13,8,-0.076,1.06,0,-0.08%,-0.04%,0.97,-0.9,0,2,,1
Rougned Odor 2B,Apr 10,4,0,0,0,0,1,4,0.111,0.111,0.111,0.222,15,11,-0.047,0.49,0,-0.05%,-0.03%,0.45,-0.9,3,2,,1
Austin Hays RF,Apr 10,3,0,1,0,1,0,4,0.1,0.25,0.2,0.45,13,7,0.004,0.58,0.06,-0.06%,0.00%,0.53,0,1,0,"2B,CS",1
Jorge Mateo SS,Apr 10,3,0,0,0,1,2,4,0.222,0.417,0.333,0.75,20,12,0.012,0.49,0.038,-0.03%,0.01%,0.45,-0.1,1,3,,1
Anthony Bemboom C,Apr 10,2,0,0,0,0,1,2,0,0,0,0,9,5,-0.025,0.5,0,-0.03%,-0.01%,0.46,-0.4,7,0,,1
Cedric Mullins CF,Apr 11,5,0,1,2,0,2,5,0.188,0.278,0.188,0.465,24,17,0.096,1.19,0.173,-0.08%,0.05%,0.94,0.3,4,0,,1
Ryan Mountcastle 1B,Apr 11,3,0,0,0,1,0,4,0.333,0.375,0.533,0.908,17,10,-0.033,0.68,0.022,-0.05%,-0.02%,0.54,-0.4,5,0,,1
Anthony Santander RF,Apr 11,2,0,2,0,2,0,4,0.5,0.667,0.9,1.567,23,9,0.097,0.55,0.097,0.00%,0.05%,0.43,1.6,1,0,2B,1
Trey Mancini DH,Apr 11,4,0,0,0,0,1,4,0.2,0.25,0.333,0.583,17,11,-0.073,0.79,0,-0.07%,-0.03%,0.62,-1.2,,,,1
Ramon Urias 3B,Apr 11,4,1,1,0,0,1,4,0.267,0.267,0.4,0.667,12,8,-0.072,0.84,0.037,-0.11%,-0.03%,0.67,-1.4,1,3,GDP,1
Rougned Odor 2B,Apr 11,4,0,1,0,0,1,4,0.154,0.154,0.154,0.308,19,11,-0.028,0.77,0.019,-0.05%,-0.01%,0.61,-0.4,5,2,,1
Austin Hays LF,Apr 11,4,0,0,0,0,1,4,0.071,0.188,0.143,0.33,13,10,-0.058,0.7,0.006,-0.06%,-0.03%,0.55,-0.6,1,0,,1
Jorge Mateo SS,Apr 11,3,1,1,0,1,1,4,0.25,0.438,0.333,0.771,18,10,0.016,0.94,0.039,-0.02%,0.01%,0.74,-0.1,1,2,SB,1
Robinson Chirinos C,Apr 11,2,0,0,0,2,0,4,0.111,0.273,0.111,0.384,19,10,0.016,0.9,0.034,-0.02%,0.01%,0.71,0.4,9,0,,1
Cedric Mullins CF,Apr 12,5,1,2,4,0,0,5,0.238,0.304,0.429,0.733,20,14,0.521,2.03,0.608,-0.09%,0.26%,1.68,3.3,3,0,"HR,2B",1
Ryan Mountcastle DH,Apr 12,5,0,1,0,0,3,5,0.3,0.333,0.45,0.783,25,17,-0.179,1.41,0.028,-0.21%,-0.09%,1.17,-0.7,,,,1
Trey Mancini 1B,Apr 12,5,0,2,0,0,1,5,0.25,0.286,0.4,0.686,19,12,-0.121,1.73,0.081,-0.20%,-0.06%,1.44,0.1,12,0,2B,1
Austin Hays LF,Apr 12,3,0,1,0,2,1,5,0.118,0.286,0.176,0.462,19,8,0.14,2.19,0.176,-0.04%,0.07%,1.82,0.5,3,0,,1
Ramon Urias 2B,Apr 12,4,0,1,0,1,1,5,0.263,0.3,0.368,0.668,19,10,-0.045,3.05,0.215,-0.26%,-0.02%,2.52,0,0,3,,1
Anthony Santander RF,Apr 12,3,0,0,0,1,2,4,0.385,0.579,0.692,1.271,25,13,0.041,2.34,0.173,-0.13%,0.02%,1.94,-0.2,2,0,,1
Chris Owings SS,Apr 12,3,1,0,0,1,3,4,0,0.2,0,0.2,17,10,-0.234,2.22,0.013,-0.25%,-0.12%,1.84,-1.3,1,4,,1
Kelvin Gutierrez 3B,Apr 12,1,1,0,0,0,0,2,0,0,0,0,4,3,0.003,0.81,0.022,-0.02%,0.00%,0.68,0,0,2,,1
Robinson Chirinos C,Apr 12,2,1,0,0,1,1,3,0.091,0.286,0.091,0.377,10,6,-0.026,1.41,0.036,-0.06%,-0.01%,1.17,0,4,1,,1
Cedric Mullins CF,Apr 13,4,0,0,0,0,1,4,0.2,0.259,0.36,0.619,15,9,-0.208,2.01,0,-0.21%,-0.10%,1.56,-1.4,1,0,,1
Ryan Mountcastle 1B,Apr 13,4,0,1,1,0,1,4,0.292,0.32,0.417,0.737,15,10,0.166,1.73,0.24,-0.08%,0.08%,1.34,0.6,13,1,,1
Anthony Santander RF,Apr 13,2,0,1,0,1,0,4,0.4,0.609,0.667,1.275,18,10,0.068,1.84,0.097,-0.03%,0.03%,1.43,0.4,0,0,HBP,1
Trey Mancini DH,Apr 13,3,0,0,1,0,1,4,0.217,0.24,0.348,0.588,14,9,-0.039,2.36,0.037,-0.08%,-0.02%,1.82,-0.7,,,SF,1
Ramon Urias 3B,Apr 13,4,0,0,0,0,1,4,0.217,0.25,0.304,0.554,17,11,-0.163,1.61,0,-0.16%,-0.08%,1.25,-1,0,3,,1
Rougned Odor 2B,Apr 13,2,0,1,0,0,1,3,0.2,0.25,0.267,0.517,13,6,0.112,0.98,0.128,-0.02%,0.05%,0.76,0.7,2,5,"2B,HBP",1
Austin Hays LF,Apr 13,4,0,0,0,0,2,4,0.095,0.24,0.143,0.383,15,11,-0.231,1.93,0,-0.23%,-0.11%,1.5,-1.4,2,0,,1
Jorge Mateo SS,Apr 13,4,1,1,0,0,2,4,0.222,0.364,0.278,0.641,14,10,-0.056,1.75,0.078,-0.13%,-0.03%,1.35,-0.5,3,5,,1
Anthony Bemboom C,Apr 13,2,0,1,0,1,1,3,0.25,0.4,0.25,0.65,17,10,0.127,1.66,0.169,-0.04%,0.06%,1.28,0.7,4,0,,1
Cedric Mullins CF,Apr 15,5,0,0,0,0,3,6,0.167,0.219,0.3,0.519,24,18,-0.426,2.9,0,-0.43%,-0.21%,2.38,-2.4,6,0,SH,1
Ramon Urias 3B,Apr 15,5,0,0,1,1,1,6,0.179,0.233,0.25,0.483,30,14,0.084,2.71,0.343,-0.26%,0.04%,2.23,-0.6,0,2,,1
Ryan Mountcastle 1B,Apr 15,4,0,0,0,1,1,5,0.25,0.3,0.357,0.657,18,11,-0.113,1.87,0.089,-0.20%,-0.06%,1.54,-0.5,7,2,,1
Trey Mancini DH,Apr 15,5,0,1,0,0,1,5,0.214,0.233,0.321,0.555,17,11,-0.154,1.82,0.037,-0.19%,-0.08%,1.49,-0.7,,,,1
Anthony Santander RF,Apr 15,4,0,0,0,1,1,5,0.316,0.536,0.526,1.062,10,8,-0.123,2.51,0.01,-0.13%,-0.06%,2.06,-0.7,0,0,IW,1
Austin Hays LF,Apr 15,4,2,2,0,1,0,5,0.16,0.3,0.24,0.54,14,6,0.137,2.11,0.284,-0.15%,0.07%,1.73,0.8,0,0,2B,1
Jorge Mateo SS,Apr 15,5,0,1,1,0,1,5,0.217,0.333,0.261,0.594,21,14,-0.303,2.42,0,-0.30%,-0.15%,1.99,-1.7,4,3,,1
Robinson Chirinos C,Apr 15,3,0,2,0,1,0,4,0.2,0.368,0.2,0.568,18,9,0.091,1.61,0.152,-0.06%,0.04%,1.32,0.3,9,1,,1
Chris Owings 2B,Apr 15,0,0,0,0,2,0,2,0,0.429,0,0.429,14,6,0.099,1.45,0.099,0.00%,0.05%,1.19,0.8,1,2,,1
Cedric Mullins CF,Apr 16,4,1,1,2,1,0,5,0.176,0.243,0.382,0.626,19,10,0.206,1.12,0.249,-0.04%,0.11%,0.95,1.6,2,1,HR,1
Ramon Urias 3B,Apr 16,4,0,0,0,0,1,4,0.156,0.206,0.219,0.425,13,10,-0.138,1.38,0,-0.14%,-0.07%,1.18,-1.1,2,2,,1
Anthony Santander RF,Apr 16,4,0,1,0,0,0,4,0.304,0.5,0.478,0.978,18,13,-0.005,0.76,0.046,-0.05%,0.00%,0.65,-0.2,4,0,,1
Ryan Mountcastle DH,Apr 16,4,0,1,0,0,1,4,0.25,0.294,0.344,0.638,12,8,-0.046,0.96,0.03,-0.08%,-0.02%,0.82,-0.5,,,,1
Trey Mancini 1B,Apr 16,4,0,2,0,0,1,4,0.25,0.265,0.344,0.608,18,14,0.104,0.92,0.128,-0.02%,0.05%,0.79,0.8,8,1,,1
Rougned Odor 2B,Apr 16,4,0,0,0,0,2,4,0.158,0.238,0.211,0.449,15,10,-0.178,1.69,0,-0.18%,-0.09%,1.44,-1.5,0,4,,1
Austin Hays LF,Apr 16,3,1,2,0,1,0,4,0.214,0.353,0.286,0.639,11,6,0.067,1.42,0.114,-0.05%,0.03%,1.21,0.5,0,0,,1
Jorge Mateo SS,Apr 16,3,0,0,0,0,2,4,0.192,0.3,0.231,0.531,13,9,-0.173,1.96,0,-0.17%,-0.09%,1.67,-1.5,1,3,SH,1
Anthony Bemboom C,Apr 16,3,0,0,0,1,0,4,0.143,0.4,0.143,0.543,19,11,-0.044,1,0.028,-0.07%,-0.02%,0.86,-0.5,9,0,,1
Austin Hays LF,Apr 17,5,0,1,0,0,3,5,0.212,0.333,0.273,0.606,19,16,-0.107,1.44,0.051,-0.16%,-0.06%,1.24,-1,0,0,,1
Ryan Mountcastle 1B,Apr 17,4,1,2,0,0,1,4,0.278,0.316,0.361,0.677,14,11,0.009,1.46,0.088,-0.08%,0.01%,1.25,0,7,0,,1
Trey Mancini RF,Apr 17,2,1,0,0,2,1,4,0.235,0.289,0.324,0.613,18,7,0.06,1.63,0.127,-0.07%,0.03%,1.41,0.5,1,0,,1
Anthony Santander DH,Apr 17,3,0,0,0,1,2,4,0.269,0.472,0.423,0.895,18,12,-0.134,1.81,0.029,-0.16%,-0.07%,1.55,-1.1,0,0,,1
Ryan McKenna CF,Apr 17,2,0,0,0,0,1,2,0,0,0,0,8,6,-0.061,1.2,0,-0.06%,-0.03%,1.03,-0.6,3,0,,1
Robinson Chirinos C,Apr 17,3,1,0,0,1,2,4,0.167,0.348,0.167,0.514,19,14,-0.03,1.6,0.045,-0.07%,-0.01%,1.38,-0.2,10,0,,1
Chris Owings 2B,Apr 17,3,0,0,0,0,3,3,0,0.3,0,0.3,14,9,-0.074,0.99,0,-0.07%,-0.04%,0.85,-0.5,3,1,,1
Kelvin Gutierrez 3B,Apr 17,4,1,2,2,0,1,4,0.2,0.333,0.3,0.633,19,13,0.037,0.63,0.069,-0.03%,0.02%,0.55,1.8,0,4,2B,1
Jorge Mateo SS,Apr 17,4,0,3,1,0,1,4,0.267,0.353,0.3,0.653,16,12,0.088,1.28,0.103,-0.02%,0.04%,1.1,1.6,2,1,SB,1
Cedric Mullins CF,Apr 18,4,0,1,0,0,0,4,0.175,0.233,0.4,0.633,10,6,-0.055,0.99,0.007,-0.06%,-0.03%,0.84,-0.3,1,0,3B,1
Ryan Mountcastle 1B,Apr 18,4,0,0,0,0,1,4,0.25,0.286,0.325,0.611,22,14,-0.165,1.03,0,-0.17%,-0.08%,0.88,-1.3,7,0,,1
Anthony Santander LF,Apr 18,3,0,0,0,1,1,4,0.241,0.45,0.379,0.829,16,10,-0.041,0.62,0.016,-0.06%,-0.02%,0.52,0,2,0,,1
Trey Mancini DH,Apr 18,3,0,1,0,1,2,4,0.243,0.31,0.324,0.634,16,9,0.019,0.87,0.066,-0.05%,0.01%,0.74,0.2,,,,1
Rougned Odor 2B,Apr 18,3,1,0,0,1,1,4,0.174,0.269,0.217,0.487,17,9,-0.077,0.99,0.036,-0.11%,-0.04%,0.85,-1.1,3,3,GDP,1
Ramon Urias 3B,Apr 18,4,0,2,0,0,2,4,0.194,0.237,0.25,0.487,17,13,-0.006,0.74,0.045,-0.05%,0.00%,0.63,0.5,0,1,,1
Austin Hays RF,Apr 18,4,0,2,1,0,0,4,0.243,0.349,0.324,0.673,17,13,0.102,0.99,0.192,-0.09%,0.05%,0.85,0.1,5,0,2B,1
Anthony Bemboom C,Apr 18,3,0,0,0,0,1,3,0.1,0.308,0.1,0.408,14,8,-0.074,0.93,0,-0.07%,-0.04%,0.79,-0.7,4,0,,1
Jorge Mateo SS,Apr 18,3,0,1,0,0,1,3,0.273,0.351,0.333,0.685,9,5,0.079,0.68,0.096,-0.02%,0.04%,0.57,0.4,2,3,2B,1
Cedric Mullins CF,Apr 19,4,0,1,0,1,1,5,0.182,0.25,0.386,0.636,20,14,-0.048,1.53,0.083,-0.13%,-0.02%,1.2,-0.1,3,0,,1
Anthony Santander LF,Apr 19,4,1,2,0,1,1,5,0.273,0.467,0.394,0.861,23,15,0.015,1.55,0.12,-0.11%,0.01%,1.22,0.3,1,0,,1
Ryan Mountcastle 1B,Apr 19,4,0,1,0,0,2,4,0.25,0.283,0.341,0.624,16,10,-0.042,1.85,0.087,-0.13%,-0.02%,1.46,-0.1,6,2,2B,1
Trey Mancini DH,Apr 19,4,0,2,1,0,0,4,0.268,0.326,0.341,0.668,18,11,-0.047,1.7,0.049,-0.10%,-0.02%,1.33,-0.1,,,,1
Austin Hays RF,Apr 19,4,0,0,0,0,1,4,0.22,0.319,0.293,0.612,12,10,-0.172,1.67,0,-0.17%,-0.08%,1.31,-1.4,1,0,,1
Ramon Urias 2B,Apr 19,3,0,0,0,1,1,4,0.179,0.238,0.231,0.469,16,10,-0.048,1.03,0.033,-0.08%,-0.02%,0.81,-0.2,2,2,,1
Robinson Chirinos C,Apr 19,4,0,1,0,0,0,4,0.182,0.333,0.182,0.515,18,12,-0.047,0.92,0.024,-0.07%,-0.02%,0.72,-0.3,8,0,,1
Kelvin Gutierrez 3B,Apr 19,3,0,0,0,0,0,3,0.154,0.267,0.231,0.497,13,7,-0.064,0.9,0,-0.06%,-0.03%,0.71,-0.6,0,2,,1
Jorge Mateo SS,Apr 19,4,0,1,0,0,1,4,0.27,0.341,0.324,0.666,17,11,-0.006,1.33,0.08,-0.09%,0.00%,1.04,-0.4,2,4,,1
Cedric Mullins CF,Apr 20,3,0,1,0,0,0,4,0.191,0.269,0.383,0.652,9,5,-0.066,1.18,0.059,-0.12%,-0.03%,0.86,-0.6,4,0,"CS,HBP",1
Anthony Santander LF,Apr 20,4,0,2,0,0,0,4,0.297,0.469,0.432,0.902,15,11,0.03,0.96,0.085,-0.05%,0.01%,0.7,0.4,0,0,2B,1
Trey Mancini 1B,Apr 20,4,0,0,0,0,1,4,0.244,0.3,0.311,0.611,18,11,-0.133,1.32,0,-0.13%,-0.06%,0.96,-1.3,8,1,,1
Ryan Mountcastle DH,Apr 20,4,0,0,0,0,2,4,0.229,0.26,0.313,0.573,21,12,-0.114,1.13,0,-0.11%,-0.05%,0.82,-1.1,,,,1
Rougned Odor 2B,Apr 20,4,0,0,0,0,1,4,0.148,0.233,0.185,0.419,15,9,-0.067,0.68,0,-0.07%,-0.03%,0.5,-0.7,0,2,,1
Robinson Chirinos C,Apr 20,0,0,0,0,0,0,1,0.182,0.357,0.182,0.539,4,1,0.026,0.64,0.026,0.00%,0.01%,0.47,0.2,1,0,HBP,1
Ryan McKenna RF,Apr 20,3,1,1,0,1,2,4,0.111,0.2,0.222,0.422,18,10,0.074,0.85,0.11,-0.04%,0.03%,0.62,0.5,0,1,2B,1
Kelvin Gutierrez 3B,Apr 20,3,0,0,0,0,0,3,0.125,0.222,0.188,0.41,6,4,0.026,1.25,0.102,-0.08%,0.01%,0.91,0.1,2,1,GDP,1
Chris Owings SS,Apr 20,3,0,1,0,0,1,3,0.1,0.308,0.1,0.408,11,7,-0.013,1.11,0.041,-0.05%,-0.01%,0.81,-0.2,0,4,,1
Cedric Mullins CF,Apr 21,4,1,1,0,0,0,4,0.196,0.268,0.392,0.66,17,11,0.004,0.95,0.064,-0.06%,0.00%,0.76,0.3,3,0,2B,1
Anthony Santander LF,Apr 21,3,0,0,0,1,2,4,0.275,0.453,0.4,0.853,22,12,-0.084,0.76,0.012,-0.10%,-0.04%,0.61,-0.8,3,0,CS,1
Trey Mancini DH,Apr 21,2,0,0,0,0,0,2,0.234,0.288,0.298,0.586,4,3,-0.021,0.41,0,-0.02%,-0.01%,0.34,-0.2,,,,1
Ryan Mountcastle 1B,Apr 21,3,2,1,0,0,2,4,0.235,0.278,0.314,0.592,15,9,0.086,1.04,0.121,-0.04%,0.04%,0.84,0.7,8,1,HBP,1
Rougned Odor 2B,Apr 21,4,0,1,1,0,1,4,0.161,0.235,0.194,0.429,10,8,0.07,1.67,0.164,-0.09%,0.03%,1.35,0.7,0,3,,1
Austin Hays RF,Apr 21,4,0,2,2,0,0,4,0.244,0.333,0.333,0.667,11,9,0.214,1.53,0.246,-0.03%,0.10%,1.24,1.6,1,0,2B,1
Ramon Urias 3B,Apr 21,4,0,1,0,0,2,4,0.186,0.239,0.233,0.472,21,12,-0.122,1.75,0.041,-0.16%,-0.06%,1.42,-0.6,1,1,,1
Anthony Bemboom C,Apr 21,3,0,0,0,0,0,3,0.063,0.211,0.063,0.273,10,7,-0.18,2.42,0,-0.18%,-0.09%,1.96,-1.3,7,0,GDP,1
Jorge Mateo SS,Apr 21,3,0,0,0,0,2,3,0.25,0.318,0.3,0.618,14,10,-0.151,1.81,0,-0.15%,-0.07%,1.46,-0.9,0,1,,1
Cedric Mullins CF,Apr 22,4,0,0,0,0,1,4,0.182,0.25,0.364,0.614,11,10,-0.073,0.7,0,-0.07%,-0.03%,0.52,-1.1,2,0,,1
Trey Mancini DH,Apr 22,4,1,1,0,0,1,4,0.235,0.286,0.294,0.58,18,14,-0.008,0.5,0.025,-0.03%,0.00%,0.37,-0.2,,,,1
Ryan Mountcastle 1B,Apr 22,4,1,1,0,0,2,4,0.236,0.276,0.309,0.585,20,14,0.037,0.52,0.065,-0.03%,0.02%,0.39,0.4,9,0,,1
Anthony Santander LF,Apr 22,3,2,1,1,1,0,4,0.279,0.456,0.395,0.851,17,11,0.041,0.75,0.07,-0.03%,0.02%,0.56,0.6,2,0,,1
Austin Hays RF,Apr 22,4,0,1,0,0,1,4,0.245,0.327,0.327,0.654,17,10,-0.027,0.79,0.029,-0.06%,-0.01%,0.59,0.2,1,0,,1
Ramon Urias 2B,Apr 22,4,1,1,1,0,0,4,0.191,0.24,0.234,0.474,11,6,0.085,0.64,0.1,-0.02%,0.04%,0.47,0.7,3,3,,1
Robinson Chirinos C,Apr 22,4,0,2,3,0,1,4,0.231,0.375,0.269,0.644,15,10,0.162,0.75,0.169,-0.01%,0.07%,0.56,1.5,9,0,2B,1
Kelvin Gutierrez 3B,Apr 22,4,0,0,0,0,1,4,0.1,0.182,0.15,0.332,13,8,-0.04,0.56,0,-0.04%,-0.02%,0.42,-1,1,3,,1
Jorge Mateo SS,Apr 22,4,0,1,0,0,0,4,0.25,0.313,0.295,0.608,6,6,-0.062,0.49,0.02,-0.08%,-0.03%,0.36,-0.4,0,3,2·SB,1
Cedric Mullins CF,Apr 23,3,2,1,0,1,0,5,0.19,0.277,0.362,0.639,15,7,0.064,1.31,0.161,-0.10%,0.03%,1.06,0.5,2,0,"2·SB,HBP",1
Anthony Santander DH,Apr 23,3,2,0,0,1,0,5,0.261,0.452,0.37,0.821,17,9,0.093,1.54,0.139,-0.05%,0.04%,1.25,0.7,,,HBP,1
Trey Mancini RF,Apr 23,4,0,0,1,0,2,5,0.218,0.262,0.273,0.535,17,11,-0.17,2.07,0,-0.17%,-0.08%,1.68,-1.4,0,0,SF,1
Ryan Mountcastle 1B,Apr 23,5,0,2,3,0,2,5,0.25,0.286,0.317,0.602,15,12,0.399,1.42,0.449,-0.05%,0.19%,1.15,2.2,12,0,SB,1
Rougned Odor 2B,Apr 23,2,0,0,1,2,0,5,0.152,0.256,0.182,0.438,20,8,0.018,0.92,0.053,-0.03%,0.01%,0.75,0,1,5,SF,1
Austin Hays LF,Apr 23,4,0,1,0,1,2,5,0.245,0.333,0.321,0.654,17,9,0.008,1,0.058,-0.05%,0.00%,0.81,0,2,0,,1
Ramon Urias 3B,Apr 23,4,0,0,0,0,1,4,0.176,0.222,0.216,0.438,15,8,-0.171,1.69,0,-0.17%,-0.08%,1.38,-1.5,1,3,,1
Anthony Bemboom C,Apr 23,4,1,2,0,0,1,4,0.15,0.261,0.2,0.461,13,10,0.085,0.93,0.123,-0.04%,0.04%,0.75,0.6,7,0,2B,1
Jorge Mateo SS,Apr 23,4,0,0,0,0,0,4,0.229,0.288,0.271,0.559,16,11,-0.054,1.06,0.021,-0.08%,-0.03%,0.86,-0.5,1,3,SB,1
Cedric Mullins CF,Apr 24,3,2,2,0,2,1,5,0.213,0.314,0.393,0.708,24,14,0.133,0.88,0.159,-0.03%,0.07%,0.77,1.7,3,0,2B,1
Trey Mancini DH,Apr 24,4,1,2,3,1,0,5,0.237,0.288,0.339,0.627,23,14,0.209,1.75,0.289,-0.08%,0.11%,1.53,2.6,,,HR,1
Anthony Santander RF,Apr 24,4,0,0,0,0,3,5,0.24,0.433,0.34,0.773,19,13,-0.187,2.17,0.044,-0.23%,-0.10%,1.9,-1.2,4,0,HBP,1
Ryan Mountcastle 1B,Apr 24,5,1,1,1,0,0,5,0.246,0.279,0.308,0.587,14,9,-0.289,2.17,0.002,-0.29%,-0.15%,1.9,-1.3,7,0,GDP,1
Austin Hays LF,Apr 24,4,1,1,2,0,1,4,0.246,0.328,0.368,0.697,12,10,0.229,0.91,0.283,-0.05%,0.12%,0.8,1.1,1,0,HR,1
Robinson Chirinos C,Apr 24,4,0,1,0,0,2,4,0.233,0.361,0.3,0.661,15,11,0.007,0.55,0.042,-0.04%,0.00%,0.48,-0.3,3,1,2B,1
Jorge Mateo SS,Apr 24,4,0,1,0,0,2,4,0.231,0.286,0.288,0.574,15,12,-0.038,0.93,0.036,-0.07%,-0.02%,0.81,-0.1,2,1,"2B,SB",1
Kelvin Gutierrez 3B,Apr 24,2,0,0,0,2,0,4,0.091,0.231,0.136,0.367,18,7,-0.009,1.09,0.054,-0.06%,-0.01%,0.95,0,1,1,SB,1
Chris Owings 2B,Apr 24,2,1,1,0,0,1,2,0.167,0.333,0.167,0.5,5,4,-0.026,0.9,0.01,-0.04%,-0.01%,0.79,-0.1,2,4,,1
Cedric Mullins CF,Apr 26,4,2,1,0,1,0,5,0.215,0.32,0.385,0.705,21,10,-0.036,0.51,0.018,-0.05%,-0.02%,0.44,0,3,0,,1
Anthony Santander RF,Apr 26,4,1,1,3,1,1,5,0.241,0.431,0.389,0.819,16,10,0.043,0.46,0.077,-0.03%,0.02%,0.4,2.1,1,0,HR,1
Trey Mancini DH,Apr 26,5,1,1,1,0,2,5,0.234,0.282,0.328,0.61,21,15,-0.036,0.39,0.008,-0.04%,-0.02%,0.33,0.1,,,,1
Ryan Mountcastle 1B,Apr 26,4,0,0,0,0,1,4,0.232,0.264,0.29,0.554,16,13,-0.055,0.55,0,-0.06%,-0.03%,0.47,-0.8,8,0,,1
Rougned Odor 2B,Apr 26,3,2,1,0,0,0,4,0.158,0.267,0.211,0.477,6,4,0.037,0.53,0.063,-0.03%,0.02%,0.46,0.5,1,0,"2B,HBP",1
Austin Hays LF,Apr 26,3,1,1,3,1,1,4,0.25,0.338,0.417,0.755,16,9,0.011,0.62,0.065,-0.05%,0.01%,0.54,2.3,1,0,HR,1
Ramon Urias 3B,Apr 26,4,0,1,1,0,0,4,0.182,0.224,0.218,0.442,9,6,0.016,0.81,0.068,-0.05%,0.01%,0.69,0.3,0,2,,1
Robinson Chirinos C,Apr 26,3,0,0,0,1,1,4,0.212,0.35,0.273,0.623,18,11,-0.049,0.77,0.017,-0.07%,-0.03%,0.67,-0.3,10,0,,1
Jorge Mateo SS,Apr 26,4,1,1,0,0,2,4,0.232,0.283,0.286,0.569,16,12,-0.053,0.62,0.007,-0.06%,-0.03%,0.54,-0.4,0,2,,1
