Batting,,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Game_num
Ramon Urias SS,Jul 30,3,0,1,0,0,1,3,0.259,0.305,0.449,0.754,16,9,0.014,0.4,0.027,-0.01%,0.01%,0.33,0.2,0,2,,1
Terrin Vavra DH,Jul 30,3,0,0,0,0,0,3,0,0,0,0,6,6,-0.093,0.8,0,-0.09%,-0.05%,0.66,-1.3,,,GDP,1
Tyler Nevin 3B,Jul 30,3,0,1,0,0,2,3,0.207,0.313,0.271,0.585,16,10,-0.013,0.41,0.01,-0.02%,-0.01%,0.34,-0.2,0,0,,1
Trey Mancini RF,Jul 31,5,0,0,0,0,2,5,0.268,0.347,0.404,0.751,29,19,-0.217,1.55,0,-0.22%,-0.10%,1.16,-1.2,2,0,,1
Adley Rutschman DH,Jul 31,4,0,0,0,0,1,4,0.241,0.336,0.424,0.76,19,13,-0.126,1.22,0,-0.13%,-0.06%,0.91,-0.9,1,1,,1
Anthony Santander LF,Jul 31,4,1,3,1,0,0,4,0.257,0.339,0.457,0.796,10,7,0.284,0.87,0.295,-0.01%,0.13%,0.65,1.3,1,0,HR,1
Austin Hays CF,Jul 31,3,0,1,0,1,1,4,0.261,0.32,0.433,0.753,12,7,0.011,1.26,0.072,-0.06%,0.01%,0.94,0.2,1,0,,1
Ramon Urias 2B,Jul 31,3,0,0,0,1,1,4,0.256,0.305,0.443,0.748,16,6,-0.111,1.61,0.026,-0.14%,-0.05%,1.2,-1,0,3,,1
Ryan Mountcastle 1B,Jul 31,3,1,1,0,1,1,4,0.255,0.295,0.438,0.732,18,11,-0.023,1.4,0.082,-0.11%,-0.01%,1.04,-0.1,8,0,,1
Tyler Nevin 3B,Jul 31,2,0,0,0,0,1,2,0.204,0.31,0.268,0.577,6,5,-0.065,1.19,0,-0.07%,-0.03%,0.88,-0.6,2,0,,1
Jorge Mateo SS,Jul 31,4,0,0,0,0,2,4,0.211,0.258,0.367,0.625,18,14,-0.161,1.82,0,-0.16%,-0.07%,1.36,-0.9,2,3,,1
Robinson Chirinos C,Jul 31,2,0,0,0,0,1,2,0.152,0.244,0.248,0.492,9,6,-0.034,0.66,0,-0.03%,-0.01%,0.48,-0.3,7,1,,1
Cedric Mullins CF,Aug 1,4,3,2,2,1,0,5,0.259,0.32,0.389,0.71,18,8,0.237,0.65,0.243,-0.01%,0.11%,0.51,2.2,2,0,HR,1
